i,ecg
1,169
2,170
3,329
4,331
5,321
6,321
7,321
8,319
9,318
10,316
11,316
12,317
13,321
14,322
15,325
16,328
17,331
18,336
19,337
20,338
21,339
22,342
23,345
24,349
25,350
26,351
27,350
28,346
29,341
30,335
31,331
32,326
33,323
34,319
35,313
36,310
37,308
38,311
39,311
40,313
41,313
42,314
43,315
44,316
45,317
46,313
47,314
48,321
49,358
50,426
51,507
52,570
53,575
54,513
55,422
56,336
57,287
58,281
59,293
60,307
61,316
62,316
63,311
64,308
65,307
66,309
67,312
68,313
69,313
70,311
71,309
72,313
73,315
74,320
75,323
76,324
77,321
78,321
79,321
80,324
81,327
82,328
83,329
84,329
85,330
86,332
87,333
88,334
89,335
90,337
91,338
92,341
93,342
94,342
95,344
96,345
97,347
98,347
99,348
100,347
101,346
102,344
103,344
104,345
105,345
106,347
107,347
108,344
109,343
110,341
111,340
112,337
113,334
114,329
115,325
116,323
117,323
118,321
119,321
120,316
121,316
122,318
123,318
124,321
125,321
126,321
127,321
128,319
129,323
130,322
131,324
132,324
133,321
134,320
135,324
136,324
137,327
138,327
139,325
140,327
141,328
142,330
143,331
144,326
145,325
146,322
147,322
148,324
149,325
150,322
151,322
152,323
153,323
154,323
155,323
156,323
157,323
158,319
159,320
160,319
161,320
162,316
163,317
164,318
165,321
166,323
167,323
168,324
169,326
170,330
171,334
172,334
173,334
174,334
175,337
176,341
177,346
178,346
179,347
180,344
181,344
182,342
183,340
184,333
185,324
186,317
187,311
188,309
189,309
190,306
191,307
192,306
193,309
194,310
195,313
196,310
197,311
198,314
199,313
200,312
201,319
202,348
203,411
204,490
205,559
206,571
207,518
208,430
209,344
210,291
211,279
212,289
213,301
214,310
215,312
216,311
217,307
218,306
219,305
220,304
221,306
222,307
223,307
224,309
225,311
226,312
227,314
228,314
229,316
230,316
231,319
232,321
233,321
234,322
235,323
236,325
237,326
238,327
239,329
240,329
241,331
242,331
243,332
244,331
245,333
246,334
247,337
248,341
249,343
250,345
251,346
252,340
253,340
254,337
255,342
256,344
257,346
258,345
259,344
260,342
261,342
262,342
263,342
264,337
265,336
266,331
267,331
268,328
269,329
270,325
271,325
272,321
273,319
274,316
275,317
276,317
277,323
278,323
279,327
280,325
281,325
282,323
283,326
284,324
285,321
286,322
287,322
288,325
289,330
290,330
291,331
292,327
293,326
294,323
295,326
296,326
297,327
298,329
299,330
300,326
301,326
302,322
303,324
304,324
305,328
306,328
307,325
308,323
309,322
310,320
311,322
312,322
313,324
314,323
315,322
316,320
317,322
318,322
319,325
320,327
321,330
322,333
323,334
324,335
325,338
326,338
327,343
328,346
329,349
330,351
331,353
332,349
333,347
334,346
335,340
336,336
337,330
338,324
339,320
340,316
341,314
342,311
343,311
344,313
345,316
346,315
347,316
348,312
349,313
350,317
351,317
352,315
353,318
354,337
355,390
356,467
357,543
358,579
359,545
360,463
361,372
362,307
363,285
364,292
365,306
366,314
367,317
368,316
369,313
370,311
371,311
372,311
373,313
374,309
375,313
376,311
377,313
378,311
379,313
380,315
381,320
382,323
383,327
384,327
385,329
386,327
387,329
388,325
389,330
390,331
391,334
392,334
393,334
394,331
395,336
396,338
397,342
398,343
399,344
400,344
401,344
402,345
403,346
404,346
405,348
406,348
407,350
408,350
409,350
410,347
411,348
412,345
413,343
414,342
415,340
416,340
417,343
418,338
419,337
420,332
421,331
422,328
423,327
424,324
425,324
426,322
427,326
428,325
429,324
430,325
431,325
432,325
433,327
434,326
435,329
436,329
437,329
438,327
439,326
440,327
441,328
442,327
443,332
444,330
445,330
446,332
447,331
448,330
449,329
450,327
451,329
452,330
453,332
