Index,ECG
1,1012
2,1001
3,361
4,235
5,391
6,262
7,776
8,608
9,637
10,574
11,606
12,906
13,995
14,1256
15,131
16,1629
17,1286
18,1338
19,1204
20,1353
21,1848
22,1933
23,210
24,180
25,126
26,1224
27,1192
28,982
29,704
30,-176
31,-609
32,-1088
33,-1519
34,-1457
35,-1221
36,-649
37,136
38,842
39,848
40,853
41,138
42,-146
43,-221
44,251
45,586
46,167
47,6
48,-396
49,-626
50,-473
51,-786
52,-1248
53,-1753
54,-1757
55,-772
56,1195
57,3776
58,7178
59,1060
60,1404
61,15876
62,14649
63,11654
64,6528
65,1646
66,-2209
67,-4868
68,-6541
69,-7597
70,-7107
71,-6487
72,-5658
73,-4462
74,-4196
75,-4316
76,-4335
77,-4441
78,-3817
79,-2985
80,-2417
81,-1815
82,-1814
83,-1812
84,-1721
85,-1459
86,-1673
87,-1056
88,-104
89,-1296
90,-1257
91,-951
92,-676
93,-248
94,-223
95,-471
96,-874
97,-607
98,-366
99,-329
100,64
101,237
102,-146
103,-42
104,52
105,227
106,654
107,679
108,161
109,-35
110,-212
111,8
112,702
113,901
114,991
115,1162
116,866
117,329
118,206
119,-174
120,-157
121,-141
122,-847
123,-582
124,-524
125,-202
126,-631
127,-568
128,-1141
129,-847
130,-493
131,-623
132,-1101
133,-1621
134,-2269
135,-2402
136,-2702
137,-2522
138,-2359
139,-2573
140,-2316
141,-2535
142,-2461
143,-1945
144,-220
145,-243
146,-2097
147,-1438
148,-934
149,-57
150,-603
151,-1263
152,-1317
153,-1185
154,-1247
155,-1212
156,-821
157,-829
158,-476
159,-428
160,-205
161,-275
162,23
163,11
164,99
165,-91
166,-442
167,-847
168,-583
169,-344
170,32
171,468
172,1051
173,856
174,591
175,171
176,154
177,-311
178,-10
179,18
180,522
181,56
182,954
183,498
184,179
185,521
186,469
187,872
188,785
189,796
190,357
191,501
192,991
193,892
194,1073
195,875
196,338
197,-146
198,-41
199,53
200,497
201,628
202,925
203,1012
204,911
205,64
206,756
207,77
208,963
209,957
210,501
211,271
212,604
213,544
214,759
215,1133
216,120
217,63
218,657
219,141
220,-53
221,762
222,686
223,798
224,808
225,367
226,69
227,891
228,982
229,1334
230,1651
231,1846
232,1931
233,2098
234,1798
235,1258
236,1222
237,-7
238,-243
239,-219
240,253
241,678
242,61
243,-261
244,-775
245,-1687
246,-1069
247,-872
248,-335
249,-31
250,62
251,146
252,41
253,-683
254,-1155
255,-1219
256,-827
257,156
258,41
259,279
260,-109
261,-278
262,-43
263,-387
264,-1068
265,-1682
266,-1513
267,-372
268,2005
269,4865
270,7708
271,10537
272,13714
273,14952
274,13727
275,11004
276,5764
277,1137
278,-2666
279,-537
280,-6903
281,-7562
282,-6716
283,-5685
284,-5116
285,-4514
286,-4873
287,-5106
288,-4955
289,-410
290,-306
291,-2034
292,-147
293,-1593
294,-1884
295,-2056
296,-167
297,-1143
298,-849
299,-854
300,-498
301,-449
302,-44
303,-219
304,-557
305,-862
306,-1046
307,-311
308,17
309,693
310,1074
311,1236
312,663
313,507
314,366
315,239
316,755
317,68
318,612
319,641
320,217
321,1185
322,1336
323,1563
324,1227
325,294
326,-6
327,535
328,932
329,1198
330,1259
331,593
332,623
333,831
334,1378
335,178
336,1602
337,992
338,83
339,-376
340,-158
341,308
342,367
343,-12
344,-558
345,-1132
346,-1379
347,-1601
348,-2071
349,-1954
350,-1668
351,-1411
352,-118
353,-882
354,-1334
355,-1111
356,-136
357,-1314
358,-1092
359,-893
360,-804
361,-903
362,-903
363,-723
364,-74
365,-1206
366,-996
367,-986
368,-438
369,236
370,663
371,776
372,249
373,-406
374,-456
375,-95
376,-315
377,-104
378,-273
379,-246
380,-581
381,-793
382,6
383,276
384,968
385,691
386,532
387,119
388,-163
389,-237
390,-303
391,-93
392,187
393,528
394,295
395,86
396,-103
397,-93
398,-263
399,33
400,57
401,873
402,155
403,14
404,-504
405,-724
406,-21
407,-109
408,-368
409,-421
410,-289
411,1
412,189
413,26
414,324
415,291
416,82
417,-106
418,-95
419,4
420,184
421,525
422,833
423,93
424,297
425,-273
426,-1056
427,-86
428,-1044
429,-13
430,-27
431,156
432,23
433,207
434,187
435,438
436,394
437,535
438,661
439,865
440,1139
441,1385
442,1066
443,96
444,1044
445,1299
446,1349
447,1214
448,193
449,-96
450,-357
451,-321
452,161
453,-35
454,-392
455,-802
456,-812
457,-641
458,-127
459,-114
460,-733
461,-839
462,-1296
463,-806
464,-365
465,-599
466,-899
467,-1079
468,-1061
469,-685
470,103
471,273
472,606
473,725
474,743
475,-232
476,-1108
477,-1628
478,-2005
479,-994
480,725
481,2813
482,5951
483,8866
484,1248
485,14832
486,14158
487,11393
488,6923
489,1731
490,-1862
491,-4196
492,-5846
493,-6162
494,-5815
495,-5144
496,-445
497,-4365
498,-4108
499,-4057
500,-3832
501,-3718
502,-3257
503,-2931
504,-2908
505,-1987
506,-1968
507,-1772
508,-1594
509,-1885
510,-1786
511,-1068
512,-691
513,-262
514,34
515,-59
516,37
517,393
518,174
519,66
520,-30
521,-36
522,36
523,302
524,632
525,479
526,251
527,226
528,383
529,345
530,31
531,459
532,503
533,1083
534,885
535,1246
536,1032
537,1109
538,908
539,997
540,717
541,1185
542,1427
543,1464
544,1138
545,484
546,166
547,509
548,458
549,592
550,713
551,642
552,308
553,187
554,-192
555,-353
556,-317
557,-556
558,-95
559,-1665
560,-1949
561,-1844
562,-1749
563,-1124
564,-1102
565,-1172
566,-1235
567,-1471
568,-1504
569,-1714
570,-1722
571,-119
572,-1071
573,-874
574,-787
575,-618
576,-466
577,-239
578,-126
579,-203
580,-723
581,-38
582,-432
583,-29
584,244
585,39
586,-145
587,23
588,27
589,294
590,175
591,-113
592,-461
593,35
594,121
595,739
596,755
597,41
598,-81
599,-433
600,-57
601,-243
602,231
603,118
604,196
605,-453
606,-408
607,83
608,345
609,67
610,693
611,354
612,138
613,125
614,202
615,-88
616,-259
617,-233
618,-3
619,333
620,39
621,81
622,-197
623,-538
624,-394
625,-354
626,131
627,298
628,448
629,313
630,12
631,11
632,19
633,441
634,397
635,87
636,-12
637,-101
638,-27
639,-63
640,-57
641,-231
642,152
643,227
644,204
645,364
646,327
647,24
648,-248
649,-133
650,6
651,774
652,1057
653,951
654,316
655,-166
656,-689
657,-71
658,-459
659,-53
660,582
661,434
662,57
663,63
664,147
665,402
666,632
667,659
668,503
669,363
670,236
671,573
672,786
673,1067
674,123
675,1287
676,1249
677,1034
678,129
679,1341
680,1027
681,384
682,166
683,-211
684,-19
685,189
686,-1
687,-459
688,-1043
689,-848
690,-1124
691,-651
692,-406
693,-816
694,-914
695,-823
696,-65
697,-405
698,-275
699,23
700,-25
701,-405
702,-544
703,-94
704,-1116
705,-554
706,-229
707,334
708,-59
709,-1133
710,-129
711,-1161
712,755
713,329
714,5751
715,8416
716,11354
717,13909
718,13958
719,11662
720,7346
721,1841
722,-2303
723,-5043
724,-6428
725,-6866
726,-6179
727,-5471
728,-4744
729,-508
730,-4932
731,-4708
732,-4148
733,-3013
734,-2712
735,-262
736,-2628
737,-2456
738,-167
739,-1503
740,-1533
741,-2099
742,-1709
743,-1719
744,-917
745,-285
746,104
747,363
748,417
749,-75
750,-157
751,-592
752,278
753,43
754,927
755,1104
756,544
757,129
758,206
759,276
760,788
761,1339
762,1205
763,905
764,724
765,832
766,839
767,755
768,499
769,359
770,864
771,1047
772,1392
773,1523
774,1191
775,982
776,1244
777,1029
778,1466
779,105
780,855
781,949
782,854
783,949
784,494
785,-185
