col1,col2
0,-36.18
1,-36.16
2,-36.15
3,-34.33
4,-26.4
5,-5.76
6,30.82
7,84.44
8,141.69
9,193.22
10,206.3
11,201.87
12,196.08
13,189.98
14,189.88
15,182.59
16,173.33
17,159.6
18,142.74
19,125.76
20,110.49
21,95.84
22,84.46
23,69.71
24,45.64
25,23.97
26,5.38
27,-23.96
28,-43.16
29,-65.85
30,-77.26
31,-89.34
32,-110.1
33,-135.09
34,-159.38
35,-171.35
36,-179.41
37,-164.17
38,-150.45
39,-135.41
40,-134.47
41,-143.52
42,-148.07
43,-141.36
44,-115.52
45,-102.17
46,-83.86
47,-77.27
48,-55.14
49,-32.53
50,-21.18
51,-10.06
52,17.05
53,39.64
54,80.68
55,90.61
56,73.45
57,0.4
58,-95.94
59,-156.54
60,-196.69
61,-177.02
62,-146.72
63,-124.85
64,-106.06
65,-84.65
66,-31.19
67,16.03
68,70.23
69,112.7
70,145.53
71,157.08
72,174.67
73,192.31
74,200.07
75,208.87
76,209.58
77,193.12
78,178.31
79,159.58
80,145.42
81,125.48
82,101.23
83,75.81
84,43.93
85,21.53
86,-7.62
87,-32.96
88,-67.46
89,-96.72
90,-127.54
91,-132.79
92,-158.21
93,-187.39
94,-197.45
95,-211.01
96,-191.7
97,-138.33
98,-91.2
99,-27.18
100,11.54
101,10.38
102,6.65
103,-30.02
104,-49.52
105,-59.87
106,-72.78
107,-83.5
108,-85.05
109,-84.65
110,-61.78
111,-37.6
112,-31.14
113,3.47
114,31.92
115,21.53
116,-2.22
117,-84.8
118,-146.52
119,-193.07
120,-174.66
121,-157.19
122,-141.48
123,-127.33
124,-85.79
125,-36.72
126,48.86
127,147.47
128,211.02
129,266.42
130,287.48
131,294.73
132,296.76
133,303.08
134,287.17
135,276.46
136,252.41
137,227.17
138,202.65
139,180.59
140,161.63
141,149.07
142,132.36
143,121.82
144,106.94
145,96.25
146,82.12
147,46.91
148,-0.98
149,-62.08
150,-112.57
151,-151.72
152,-174.35
153,-201.91
154,-206.92
155,-201.53
156,-202.97
157,-181.78
158,-194.2
159,-190.08
160,-160.27
161,-128.04
162,-111.64
163,-91.48
164,-88.63
165,-78.87
166,-58.38
167,-63.34
168,-73.21
169,-71.29
170,-57.86
171,-29.57
172,11.19
173,40.67
174,60.9
175,80.91
176,59.32
177,22.79
178,-10.09
179,-36.08
180,-46.87
181,-43.99
182,-43.19
183,-42.47
184,-24.72
185,25.45
186,75.1
187,121.59
188,154.44
189,187.59
190,208.43
191,231.69
192,232.82
193,210.44
194,195.69
195,173.42
196,170.48
197,157.93
198,142.14
199,128.83
200,112.34
201,102.01
202,92.71
203,77.14
204,61.32
205,40.79
206,24.11
207,2.8
208,-28.08
209,-45.97
210,-73.77
211,-95.2
212,-116.28
213,-113.65
214,-121.18
215,-125.27
216,-137.04
217,-170.14
218,-181.92
219,-192.53
220,-188.58
221,-190.42
222,-186.68
223,-178.81
224,-145.63
225,-125.67
226,-112.2
227,-110.88
228,-131.29
229,-132.56
230,-100.41
231,-68.77
232,-26.79
233,-2.51
234,4.04
